ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
09A,"Homer, AK",ADQ,"Kodiak, AK"
09A,"Homer, AK",ADQ,"Kodiak, AK"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1VA,"Warrenton, VA",TN8,"Nashville, TN"
2AK,"Deer Park, AK",PTL,"Port Armstrong, AK"
2NC,"Asheboro, NC",MXE,"Maxton, NC"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",KQA,"Akutan, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
A1K,"Deadhorse1, AK",A1K,"Deadhorse1, AK"
A20,"Alpine, AK",ANC,"Anchorage, AK"
A27,"Pogo Mines, AK",FAI,"Fairbanks, AK"
A43,"Kodiak Island, AK",KWP,"West Point, AK"
A43,"Kodiak Island, AK",EHR,"Eagle Harbor, AK"
A43,"Kodiak Island, AK",KPY,"Port Bailey, AK"
A43,"Kodiak Island, AK",06A,"Kizhuyak, AK"
A43,"Kodiak Island, AK",DGB,"Danger Bay, AK"
A43,"Kodiak Island, AK",BFB,"Blue Fox Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KZB,"Zachar Bay, AK"
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK"
ABE,"Allentown/Bethlehem/Easton, PA",CVG,"Cincinnati, OH"
ABE,"Allentown/Bethlehem/Easton, PA",ILN,"Wilmington, OH"
ABE,"Allentown/Bethlehem/Easton, PA",AFW,"Dallas/Fort Worth, TX"
ABE,"Allentown/Bethlehem/Easton, PA",YIP,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",HRL,"Harlingen/San Benito, TX"
ABE,"Allentown/Bethlehem/Easton, PA",STC,"St. Cloud, MN"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",FNT,"Flint, MI"
ABE,"Allentown/Bethlehem/Easton, PA",MEM,"Memphis, TN"
ABE,"Allentown/Bethlehem/Easton, PA",IND,"Indianapolis, IN"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",LGA,"New York, NY"
ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",ILN,"Wilmington, OH"
ABE,"Allentown/Bethlehem/Easton, PA",SBD,"San Bernardino, CA"
ABE,"Allentown/Bethlehem/Easton, PA",CLE,"Cleveland, OH"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",LGA,"New York, NY"
ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA"
ABE,"Allentown/Bethlehem/Easton, PA",HPN,"White Plains, NY"
ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",IAD,"Washington, DC"
ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC"
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC"
ABE,"Allentown/Bethlehem/Easton, PA",BNA,"Nashville, TN"
ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",MDT,"Harrisburg, PA"
ABE,"Allentown/Bethlehem/Easton, PA",SFB,"Sanford, FL"
ABE,"Allentown/Bethlehem/Easton, PA",BNA,"Nashville, TN"
ABE,"Allentown/Bethlehem/Easton, PA",PIE,"St. Petersburg, FL"
ABE,"Allentown/Bethlehem/Easton, PA",FLL,"Fort Lauderdale, FL"
ABE,"Allentown/Bethlehem/Easton, PA",BOS,"Boston, MA"
ABE,"Allentown/Bethlehem/Easton, PA",SRQ,"Sarasota/Bradenton, FL"
ABE,"Allentown/Bethlehem/Easton, PA",PBI,"West Palm Beach/Palm Beach, FL"
ABE,"Allentown/Bethlehem/Easton, PA",PGD,"Punta Gorda, FL"
ABE,"Allentown/Bethlehem/Easton, PA",GPT,"Gulfport/Biloxi, MS"
ABI,"Abilene, TX",LBB,"Lubbock, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",AFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",IAN,"Kiana, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",ORV,"Noorvik, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",OBU,"Kobuk, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",RDB,"Red Dog, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",IAN,"Kiana, AK"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",EWR,"Newark, NJ"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",BOS,"Boston, MA"
ABQ,"Albuquerque, NM",JFK,"New York, NY"
ABQ,"Albuquerque, NM",BOS,"Boston, MA"
ABQ,"Albuquerque, NM",JFK,"New York, NY"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",SLC,"Salt Lake City, UT"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",AMA,"Amarillo, TX"
ABQ,"Albuquerque, NM",SFO,"San Francisco, CA"
ABQ,"Albuquerque, NM",DRO,"Durango, CO"
ABQ,"Albuquerque, NM",SAF,"Santa Fe, NM"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",FTW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",RNO,"Reno, NV"
ABQ,"Albuquerque, NM",ONT,"Ontario, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
